Name,Area/Region,Section,Metres,Feet,Latitude,Longitude
Beinn na Lap,Loch Treig to Loch Ericht,4,935.0,3068,56.78939,-4.659977
Sgurr Mor,Knoydart to Glen Kingie,10,1003.0,3291,57.028446,-5.354206
Mullach Fraoch-choire,Glen Affric to Glen Moriston,11,1100.9,3612,57.205388,-5.155637
A' Ghlas-bheinn,Loch Duich to Cannich,11,918.0,3012,57.255081,-5.303686
An Socach,Loch Duich to Cannich,11,919.7,3017,57.25755,-5.171311
Sgurr nan Ceathramhnan,Loch Duich to Cannich,11,1149.7,3772,57.254911,-5.222732
Carn nan Gobhar,Killilan to Inverness,12,992.3,3256,57.363304,-5.024544
An Socach,Killilan to Inverness,12,1069.0,3507,57.350229,-5.158603
An Riabhachan,Killilan to Inverness,12,1129.0,3704,57.362437,-5.104745
Sgurr na Lapaich,Killilan to Inverness,12,1151.9,3779,57.369311,-5.059726
Bidein a' Choire Sheasgaich,Kyle of Lochalsh to Garve,12,945.0,3100,57.41971,-5.250472
Lurg Mhor,Kyle of Lochalsh to Garve,12,987.0,3238,57.413091,-5.223666
Sgurr Choinnich,Kyle of Lochalsh to Garve,12,999.3,3279,57.451026,-5.207916
Maoile Lunndaidh,Kyle of Lochalsh to Garve,12,1004.9,3297,57.464477,-5.111002
Sgurr a' Chaorachain,Kyle of Lochalsh to Garve,12,1053.0,3455,57.452501,-5.189284
An Coileachan,The Fannaichs,14,924.0,3031,57.667625,-4.949498
Meall Gorm,The Fannaichs,14,949.7,3116,57.680837,-4.983801
Beinn Liath Mhor Fannaich,The Fannaichs,14,954.2,3131,57.706095,-4.989775
Sgurr Mor,The Fannaichs,14,1108.9,3638,57.700133,-5.016765
Seana Bhraigh,Loch Broom to Strath Oykel,15,926.0,3038,57.84733,-4.89662
Eididh nan Clach Geala,Loch Broom to Strath Oykel,15,927.0,3041,57.813492,-4.934218
Blabheinn,Minginish and the Cuillin Hills,17,928.8,3047,57.219565,-6.09321
