Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
31,An Caisteal,,Loch Lomond to Strathyre,1C,995.9,3267,56.338618,-4.62437,19/08/2020,
75,Beinn a' Chleibh,,Inveraray to Crianlarich,1D,916.3,3006,56.39023,-4.83563,,
2925,Beinn a' Chroin,,Loch Lomond to Strathyre,1C,941.4,3089,56.331991,-4.609644,,
70,Beinn Bhuidhe,,Inveraray to Crianlarich,1D,948.5,3112,56.326686,-4.906709,,
38,Beinn Chabhair,,Loch Lomond to Strathyre,1C,932.2,3058,56.325779,-4.641476,,
69,Beinn Dubhchraig,,Inveraray to Crianlarich,1D,978.6,3211,56.391295,-4.743193,,
68,Beinn Ime,,Inveraray to Crianlarich,1D,1012.2,3321,56.236794,-4.817125,?,
74,Beinn Narnain,,Inveraray to Crianlarich,1D,926.8,3041,56.220956,-4.789003,,
35,Beinn Tulaichean,,Loch Lomond to Strathyre,1C,945.8,3103,56.342234,-4.563315,19/08/2020,
1,Ben Chonzie,,Loch Tay to Perth,1A,930.4,3052,56.453851,-3.992057,19/08/2020,
32,Ben Lomond,,Loch Lomond to Strathyre,1C,973.7,3195,56.190302,-4.63301,?,
65,Ben Lui,,Inveraray to Crianlarich,1D,1131.4,3712,56.397004,-4.810509,,
26,Ben More,,Loch Lomond to Strathyre,1C,1173.9,3851,56.385952,-4.540087,,
67,Ben Oss,,Inveraray to Crianlarich,1D,1029.8,3379,56.389027,-4.775195,19/08/2020,
76,Ben Vane,,Inveraray to Crianlarich,1D,915.76,3004,56.249786,-4.781655,?,
17,Ben Vorlich,,Strathyre to Strathallan,1B,985.3,3233,56.34268,-4.219464,19/08/2020,
71,Ben Vorlich,,Inveraray to Crianlarich,1D,942.8,3093,56.274021,-4.755046,,
30,Cruach Ardrain,,Loch Lomond to Strathyre,1C,1045.9,3431,56.356438,-4.576152,19/08/2020,
27,Stob Binnein,,Loch Lomond to Strathyre,1C,1164.8,3822,56.370708,-4.535768,,
18,Stuc a' Chroin,,Strathyre to Strathallan,1B,973,3192,56.329315,-4.237533,19/08/2020,
142,An Stuc,,Glen Lyon to Glen Dochart & Loch Tay,2B,1117.1,3665,56.560084,-4.216248,19/08/2020,
104,Beinn a' Chreachain,,Loch Rannoch to Glen Lyon,2A,1080.6,3545,56.560387,-4.647573,,
108,Beinn Achaladair,,Loch Rannoch to Glen Lyon,2A,1038.6,3407,56.551909,-4.694515,,
112,Beinn an Dothaidh,,Loch Rannoch to Glen Lyon,2A,1004,3294,56.53013,-4.713981,19/08/2020,
152,Beinn Challuim,,Glen Lyon to Glen Dochart & Loch Tay,2B,1024.9,3363,56.454573,-4.619184,,
105,Beinn Dorain,,Loch Rannoch to Glen Lyon,2A,1076,3530,56.50287,-4.722173,19/08/2020,
144,Beinn Ghlas,,Glen Lyon to Glen Dochart & Loch Tay,2B,1103.4,3620,56.535996,-4.236992,19/08/2020,
122,Beinn Mhanach,,Loch Rannoch to Glen Lyon,2A,952.5,3125,56.534032,-4.646042,,
145,Beinn Sheasgarnaich,,Glen Lyon to Glen Dochart & Loch Tay,2B,1077.4,3535,56.510254,-4.579217,,
141,Ben Lawers,,Glen Lyon to Glen Dochart & Loch Tay,2B,1214.3,3984,56.544921,-4.220876,19/08/2020,
109,Carn Gorm,,Loch Rannoch to Glen Lyon,2A,1029.5,3378,56.622537,-4.226021,19/08/2020,
107,Carn Mairg,,Loch Rannoch to Glen Lyon,2A,1043,3422,56.634635,-4.145624,19/08/2020,
148,Creag Mhor,,Glen Lyon to Glen Dochart & Loch Tay,2B,1046.8,3434,56.489519,-4.614038,19/08/2020,
163,Meall a' Choire Leith,,Glen Lyon to Glen Dochart & Loch Tay,2B,925.6,3037,56.566312,-4.259617,19/08/2020,
123,Meall Buidhe,,Loch Rannoch to Glen Lyon,2A,932.1,3058,56.617231,-4.448608,,
146,Meall Corranaich,,Glen Lyon to Glen Dochart & Loch Tay,2B,1067.2,3501,56.540955,-4.25347,19/08/2020,
118,Meall Garbh,,Loch Rannoch to Glen Lyon,2A,967.5,3174,56.637381,-4.207472,19/08/2020,
143,Meall Garbh,,Glen Lyon to Glen Dochart & Loch Tay,2B,1123.1,3685,56.566131,-4.207698,19/08/2020,
150,Meall Ghaordaidh,,Glen Lyon to Glen Dochart & Loch Tay,2B,1039.8,3411,56.525809,-4.416654,19/08/2020,
