Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
390,A' Bhuidheanach Bheag,,Loch Ericht to Glen Tromie & Glen Garry,5B,936,3071,56.870342,-4.199001,x,
623,A' Chailleach,,Glen Albyn and the Monadh Liath,9B,929.3,3049,57.109564,-4.179285,x,
1043,A' Chailleach,,The Fannaichs,14B,998.6,3276,57.693773,-5.128713,x,
862,A' Chraileag,,Glen Affric to Glen Moriston,11B,1120,3675,57.184186,-5.154837,x,
846,A' Ghlas-bheinn,,Loch Duich to Cannich,11A,918,3012,57.255081,-5.303686,x,
1014,A' Mhaighdean,,Loch Maree to Loch Broom,14A,967,3173,57.719653,-5.346721,x,
386,A' Mharconaich,,Loch Ericht to Glen Tromie & Glen Garry,5A,973.2,3193,56.857002,-4.290668,x,
1254,Am Basteir,,Minginish and the Cuillin Hills,17B,934,3064,57.24794,-6.202966,x,
303,Am Bodach,,Fort William to Loch Treig & Loch Leven,4A,1031.8,3385,56.74173,-4.98337,,
1066,Am Faochagach,,Loch Broom to Strath Oykel,15A,953,3127,57.771801,-4.853882,,
31,An Caisteal,,Loch Lomond to Strathyre,1C,995.9,3267,56.338618,-4.62437,x,
1052,An Coileachan,,The Fannaichs,14B,924,3031,57.667625,-4.949498,x,
312,An Gearanach,,Fort William to Loch Treig & Loch Leven,4A,981.5,3220,56.759172,-4.96623,,
927,An Riabhachan,,Killilan to Inverness,12B,1129,3704,57.362437,-5.104745,,
407,An Sgarsoch,,Glen Tromie to Glen Tilt,6A,1006.5,3302,56.932109,-3.754294,x,
433,An Socach,,Pitlochry to Braemar & Blairgowrie,6B,942.8,3093,56.902007,-3.512431,x,
845,An Socach,,Loch Duich to Cannich,11A,919.7,3017,57.25755,-5.171311,,
931,An Socach,,Killilan to Inverness,12B,1069,3507,57.350229,-5.158603,x,
142,An Stuc,,Glen Lyon to Glen Dochart & Loch Tay,2B,1117.1,3665,56.560084,-4.216248,x,
1003,An Teallach - Bidein a' Ghlas Thuill,,Loch Maree to Loch Broom,14A,1062.6,3486,57.807107,-5.251768,x,
1004,An Teallach - Sgurr Fiona,,Loch Maree to Loch Broom,14A,1058.7,3473,57.800726,-5.259443,x,
685,Aonach air Chrith,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1019.5,3345,57.12464,-5.221291,x,
279,Aonach Beag,,Fort William to Loch Treig & Loch Leven,4A,1234,4049,56.799998,-4.954138,x,
347,Aonach Beag,,Loch Treig to Loch Ericht,4B,1115.8,3661,56.833498,-4.529175,,
179,Aonach Eagach - Meall Dearg,,Loch Leven to Rannoch Station,3A,952.3,3124,56.68074,-5.003235,x,
178,Aonach Eagach - Sgorr nam Fiannaidh,,Loch Leven to Rannoch Station,3A,967.7,3175,56.679387,-5.037143,x,
828,Aonach Meadhoin,,Loch Duich to Cannich,11A,1001,3284,57.173026,-5.229166,x,
281,Aonach Mor,,Fort William to Loch Treig & Loch Leven,4A,1220.4,4004,56.812941,-4.961712,x,
